,id_collar,id_itm,id_user,lat,lng,time_stamp,month
1821,AV337,1FAE5DE,3508,36.823544671,-4.867826352,2022-02-19 17:34:12,2
1822,AO771,BF8B66,3508,36.82449073,-4.86817731,2022-02-19 17:44:39,2
1823,AV338,1FAE67D,3508,36.823758297,-4.867872129,2022-02-19 17:46:16,2
1824,AV337,1FAE5DE,3508,36.823575189,-4.868039979,2022-02-19 18:04:13,2
1825,AV338,1FAE67D,3508,36.823773556,-4.868039979,2022-02-19 18:16:31,2
1826,AO771,BF8B66,3508,36.824048219,-4.868070497,2022-02-19 19:15:02,2
1827,AV338,1FAE67D,3508,36.823697261,-4.867750057,2022-02-19 19:16:22,2
1828,AV338,1FAE67D,3508,36.823880369,-4.867872129,2022-02-19 19:45:26,2
1829,AV337,1FAE5DE,3508,36.823697261,-4.867978943,2022-02-19 20:04:40,2
1830,AO771,BF8B66,3508,36.824002441,-4.868207828,2022-02-19 20:15:15,2
1831,AV338,1FAE67D,3508,36.82355993,-4.867765316,2022-02-19 20:16:00,2
1832,AV337,1FAE5DE,3508,36.823605707,-4.867978943,2022-02-19 20:35:23,2
1833,AV338,1FAE67D,3508,36.823575189,-4.86785687,2022-02-19 20:45:34,2
1834,AV338,1FAE67D,3508,36.823620966,-4.867887388,2022-02-19 21:14:55,2
1835,AV337,1FAE5DE,3508,36.823682002,-4.867933165,2022-02-19 21:34:43,2
1836,AV338,1FAE67D,3508,36.823590448,-4.867933165,2022-02-19 21:45:23,2
1837,AO771,BF8B66,3508,36.824246586,-4.868558785,2022-02-19 21:45:43,2
1838,AV338,1FAE67D,3508,36.823758297,-4.868116274,2022-02-19 22:15:16,2
1839,AO771,BF8B66,3508,36.82418555,-4.868604562,2022-02-19 22:15:46,2
1840,AV338,1FAE67D,3508,36.823651484,-4.867765316,2022-02-19 22:44:29,2
1841,AV338,1FAE67D,3508,36.823697261,-4.867673762,2022-02-19 23:14:13,2
1842,AV338,1FAE67D,3508,36.823926146,-4.867505913,2022-02-20 00:13:56,2
1843,AV338,1FAE67D,3508,36.823788815,-4.867566949,2022-02-20 00:43:44,2
1844,AV338,1FAE67D,3508,36.823575189,-4.868009461,2022-02-20 01:43:28,2
1845,AV338,1FAE67D,3508,36.823636225,-4.867994202,2022-02-20 02:13:17,2
1846,AV338,1FAE67D,3508,36.823575189,-4.867841611,2022-02-20 02:43:01,2
1847,AO771,BF8B66,3508,36.824261845,-4.868604562,2022-02-20 02:47:16,2
1848,AV338,1FAE67D,3508,36.823819333,-4.868207828,2022-02-20 03:13:07,2
1849,AV338,1FAE67D,3508,36.823682002,-4.868009461,2022-02-20 03:42:43,2
1850,AV338,1FAE67D,3508,36.823666743,-4.868085756,2022-02-20 04:13:24,2
1851,AV337,1FAE5DE,3508,36.823743038,-4.868131533,2022-02-20 04:36:34,2
1852,AV338,1FAE67D,3508,36.823727779,-4.867963684,2022-02-20 04:42:32,2
1853,AV338,1FAE67D,3508,36.823773556,-4.867948425,2022-02-20 05:12:26,2
1854,AO771,BF8B66,3508,36.824216068,-4.868375677,2022-02-20 05:18:04,2
1855,AV338,1FAE67D,3508,36.823788815,-4.868055238,2022-02-20 05:42:05,2
1856,AV337,1FAE5DE,3508,36.823651484,-4.868192569,2022-02-20 06:06:43,2
1857,AV338,1FAE67D,3508,36.823773556,-4.868101015,2022-02-20 06:12:06,2
1858,AV338,1FAE67D,3508,36.823682002,-4.868039979,2022-02-20 06:41:50,2
1859,AV337,1FAE5DE,3508,36.823727779,-4.867887388,2022-02-20 07:06:54,2
1860,AV338,1FAE67D,3508,36.823575189,-4.868009461,2022-02-20 07:12:23,2
1861,AV338,1FAE67D,3508,36.823636225,-4.867963684,2022-02-20 07:41:57,2
1862,AV338,1FAE67D,3508,36.823758297,-4.868146792,2022-02-20 08:11:37,2
1863,AV338,1FAE67D,3508,36.823788815,-4.867933165,2022-02-20 08:41:20,2
1864,AV338,1FAE67D,3508,36.823682002,-4.867811093,2022-02-20 09:11:01,2
1865,AV338,1FAE67D,3508,36.823727779,-4.867811093,2022-02-20 09:40:50,2
1866,AV337,1FAE5DE,3508,36.823636225,-4.867872129,2022-02-20 10:06:30,2
1867,AV338,1FAE67D,3508,36.823788815,-4.867826352,2022-02-20 10:10:37,2
1868,AV337,1FAE5DE,3508,36.823834592,-4.867795834,2022-02-20 10:36:43,2
1869,AV338,1FAE67D,3508,36.823605707,-4.867887388,2022-02-20 10:40:32,2
1870,AV338,1FAE67D,3508,36.823773556,-4.867902647,2022-02-20 11:40:23,2
1871,AV338,1FAE67D,3508,36.823956664,-4.867917906,2022-02-20 12:10:03,2
1872,AO771,BF8B66,3508,36.824109255,-4.868360418,2022-02-20 12:20:09,2
1873,AV337,1FAE5DE,3508,1.00390631,0.0,2022-02-20 12:37:57,2
1874,AO771,BF8B66,3508,36.824277104,-4.86863508,2022-02-20 12:50:23,2
1875,AV337,1FAE5DE,3508,36.823773556,-4.868268864,2022-02-20 13:07:46,2
1876,AV338,1FAE67D,3508,36.823697261,-4.867963684,2022-02-20 13:10:14,2
1877,AV338,1FAE67D,3508,36.823636225,-4.867978943,2022-02-20 13:40:18,2
1878,AO771,BF8B66,3508,36.824063478,-4.868497749,2022-02-20 13:50:39,2
1879,AV338,1FAE67D,3508,36.823743038,-4.86802472,2022-02-20 14:10:10,2
1880,AV337,1FAE5DE,3508,36.823666743,-4.867780575,2022-02-20 14:38:01,2
1881,AO771,BF8B66,3508,36.823987182,-4.868696117,2022-02-20 14:50:55,2
1882,AV337,1FAE5DE,3508,36.817593652,-4.858304723,2022-02-20 15:08:09,2
1883,AV337,1FAE5DE,3508,36.823666743,-4.867994202,2022-02-20 15:37:43,2
1884,AV338,1FAE67D,3508,36.823697261,-4.86802472,2022-02-20 15:39:27,2
1885,AV337,1FAE5DE,3508,36.82371252,-4.868101015,2022-02-20 16:07:54,2
1886,AO771,BF8B66,3508,36.824139773,-4.868497749,2022-02-20 16:21:13,2
1887,AV337,1FAE5DE,3508,36.82371252,-4.867963684,2022-02-20 16:37:39,2
1888,AV338,1FAE67D,3508,36.823697261,-4.867978943,2022-02-20 16:38:48,2
1889,AO771,BF8B66,3508,36.824200809,-4.868436713,2022-02-20 16:51:26,2
1890,AV337,1FAE5DE,3508,36.822980087,-4.867841611,2022-02-20 17:37:59,2
1891,AV337,1FAE5DE,3508,36.823483635,-4.866392004,2022-02-20 18:08:34,2
1892,AV338,1FAE67D,3508,36.823788815,-4.86802472,2022-02-20 19:08:34,2
1893,AV337,1FAE5DE,3508,36.822522316,-4.866117342,2022-02-20 19:08:43,2
1894,AV338,1FAE67D,3508,36.823727779,-4.86802472,2022-02-20 20:08:15,2
1895,AV337,1FAE5DE,3508,36.823666743,-4.867963684,2022-02-20 20:08:49,2
1896,AV338,1FAE67D,3508,36.823636225,-4.867902647,2022-02-20 20:37:28,2
1897,AV337,1FAE5DE,3508,36.823636225,-4.867963684,2022-02-20 20:38:54,2
1898,AV337,1FAE5DE,3508,36.823682002,-4.868101015,2022-02-20 21:08:35,2
1899,AV338,1FAE67D,3508,36.823666743,-4.867841611,2022-02-20 21:36:50,2
1900,AV337,1FAE5DE,3508,36.823636225,-4.868055238,2022-02-20 21:39:02,2
1901,AV338,1FAE67D,3508,36.82371252,-4.867795834,2022-02-20 22:07:08,2
1902,AV337,1FAE5DE,3508,36.823636225,-4.868009461,2022-02-20 22:08:26,2
1903,AV338,1FAE67D,3508,36.823682002,-4.867872129,2022-02-20 22:36:37,2
1904,AV337,1FAE5DE,3508,36.823804074,-4.868238346,2022-02-20 22:38:48,2
1905,AV338,1FAE67D,3508,36.823575189,-4.867429618,2022-02-20 23:06:37,2
1906,AV337,1FAE5DE,3508,36.82355993,-4.868131533,2022-02-20 23:08:49,2
1907,AV338,1FAE67D,3508,36.823910887,-4.867597467,2022-02-20 23:36:25,2
1908,AV338,1FAE67D,3508,36.823651484,-4.867902647,2022-02-21 00:06:06,2
1909,AV337,1FAE5DE,3508,36.823605707,-4.867750057,2022-02-21 00:09:05,2
1910,AO771,BF8B66,3508,36.824155032,-4.868574044,2022-02-21 00:54:20,2
1911,AV338,1FAE67D,3508,36.823498894,-4.867948425,2022-02-21 01:06:23,2
1912,AV337,1FAE5DE,3508,36.823849851,-4.86785687,2022-02-21 01:08:57,2
1913,AO771,BF8B66,3508,36.824200809,-4.868604562,2022-02-21 01:23:53,2
1914,AV338,1FAE67D,3508,36.823682002,-4.867902647,2022-02-21 01:35:43,2
1915,AV337,1FAE5DE,3508,36.824078737,-4.868162051,2022-02-21 01:39:04,2
1916,AO771,BF8B66,3508,36.824155032,-4.868589303,2022-02-21 01:54:14,2
1917,AV338,1FAE67D,3508,36.823849851,-4.868070497,2022-02-21 02:06:22,2
1918,AV337,1FAE5DE,3508,36.823910887,-4.868513008,2022-02-21 02:39:15,2
1919,AV338,1FAE67D,3508,36.823590448,-4.86785687,2022-02-21 03:05:08,2
1920,AV337,1FAE5DE,3508,36.823880369,-4.868528267,2022-02-21 03:09:57,2
1921,AV337,1FAE5DE,3508,36.823620966,-4.867490654,2022-02-21 03:39:33,2
1922,AO771,BF8B66,3508,36.824307622,-4.868314641,2022-02-21 03:54:45,2
1923,AV338,1FAE67D,3508,36.823682002,-4.86785687,2022-02-21 04:05:37,2
1924,AV338,1FAE67D,3508,36.823636225,-4.867948425,2022-02-21 04:34:46,2
1925,AV337,1FAE5DE,3508,36.823636225,-4.867887388,2022-02-21 04:39:56,2
1926,AV337,1FAE5DE,3508,36.82386511,-4.868070497,2022-02-21 05:09:36,2
1927,AV338,1FAE67D,3508,36.823636225,-4.867872129,2022-02-21 05:34:29,2
1928,AV337,1FAE5DE,3508,36.823651484,-4.867826352,2022-02-21 05:40:11,2
1929,AV338,1FAE67D,3508,36.823682002,-4.868039979,2022-02-21 06:04:52,2
1930,AV337,1FAE5DE,3508,36.823682002,-4.867948425,2022-02-21 06:40:23,2
1931,AV338,1FAE67D,3508,36.823682002,-4.867933165,2022-02-21 07:33:51,2
1932,AV338,1FAE67D,3508,36.823529412,-4.867811093,2022-02-21 08:03:45,2
1933,AV338,1FAE67D,3508,36.823483635,-4.867750057,2022-02-21 08:34:05,2
1934,AV337,1FAE5DE,3508,36.823682002,-4.867872129,2022-02-21 09:10:52,2
1935,AV337,1FAE5DE,3508,36.823575189,-4.867917906,2022-02-21 09:40:29,2
1936,AV338,1FAE67D,3508,36.823575189,-4.86785687,2022-02-21 10:02:58,2
